problem_id,submission_id,code,halstead_effort,modularity_score,quality_score,functionality_score,verdict
4A,269308927,"w = int(input())
if w%2 == 0 and w != 2:
    print(""YES"")
else:
    print(""NO"")",106.3016990363956,73.14196218558828,3,1,1
4A,268967990,"def main():
    watermelon = int(input())
    if watermelon % 2 == 0 and watermelon > 2:
        print(""YES"")
    else:
        print(""NO"")

if __name__ == ""__main__"":
    main()",134.43609377704337,67.64450076405312,3,1,1
4A,4278977,"n = int(input())
answer = 'YES' if n > 2 and (n-2)%2 == 0 else 'NO'
print(answer)",192.0515625386334,77.07107029550923,3,1,1
4A,204115614,print('YNEOS'[5%~int(input())%2::2]),22.458839376460833,83.83640786910061,2,1,1
4A,269005075,"w = int(input())
if w % 2 == 0:
    print(""YES"")
else:
    print(""NO"")",15.509775004326936,76.14705226402761,3,1,1
4A,269170574,"def main():
    n=int(input())
    if n%2==0:
        return 'YES'
    return 'NO'",15.509775004326936,76.14705226402761,3,1,0
4A,269308016,"w = float(input())
if w%2 ==0 : 
  print(""yes"")
else:
  print(""no"")",15.509775004326936,76.14705226402761,3,1,0
4A,245969688,"def prof(nums: list):
    return all([i % 2 == 0 for i in nums])


res = []
w = int(input())
sp = [2 for i in range(w//2)] if w % 2 == 0 else [3] + [2 for i in range(w//2-1)]
while len(sp) != 1:
    min_index = sp.index(min(sp[:-1]))
    sp[min_index] += 1
    sp = sp[:-1] if sp[-1] == 1 else sp[:-1] + [sp[-1] - 1]
    res.append(prof(sp))

print(any(res))",1371.6145240520734,58.254690267433034,2,0,0
4A,225507580,"n=int(input())
x=n%2
y=n//2
if x==0 and y%2==0:
    print(""Yes"")
else:
    print(""No"")",193.58797503894246,68.48960980802312,3,1,0
32A,73921389,"i=lambda:map(int,input().split())
n,d=i();a=[*i()]
print(sum(abs(x-y)<=d for x in a for y in a)-n)",27.0,74.32675679259947,3,1,0
32A,137849766,"a,b = map(int,input().split())
num = list(map(int,input().split()))
num = sorted(num)
ans = 0
if a == 0:
    print(0)
else:
    for i in range(len(num)):
        for k in range(i+1,len(num)):
            if num[k] - num[i] <= b:
                ans += 2
            elif num[k] - num[i] > b:
                break
print(ans)",235.76114431231534,60.591043697121435,2,1,1
32A,130417385,"n,d=map(int,input().split())
l=list(map(int,input().split()))
cnt = 0
for i in range(len(l)):
    for j in range(len(l)):
        if i != j:
            x=l[i]
            y=l[j]
            if abs(x-y) <= d:
                cnt+=1
print(cnt)

 	 	  			 			 				 		      		 	",86.03910001730776,65.17163294107861,2,0,1
32A,136272729,"#
n,d=map(int,input().split())
a=sorted([int(a) for a in input().split()])
count=0
for i in range(n):
    for j in range(i+1,n):
        if a[j]-a[i]<=d:
            count+=2
        else:
            break
print(count)",62.26976913547136,84.00040436285234,3,1,1
32A,9383316,"from collections import Counter
n, d = [int(x) for x in input().split()]
a = [int(x) for x in input().split()]
cnt = Counter(a)
a = sorted(cnt.items())
ans = 0
for i in range(len(a)):
	ans += a[i][1] * (a[i][1] - 1)
	for j in range(i + 1, len(a)):
		if a[j][0] - a[i][0] > d:
			break
		ans += a[i][1] * a[j][1] * 2
print(ans)",262.55713176440725,60.42001185788198,3,1,1
32A,267583203,"# 36 reconnaissance

n, d = map(int, input().split())
arr = list(map(int, input().split()))
brr = sorted(arr)
# brr.append(-100)
count = 0
for i in range(len(brr)-1):
    if brr[i + 1] != -100:
        x = brr[i] - brr[i + 1]
        if x < 0:
            x *= - 1
        if x <= d:
            count += 1
# print(count)

z = 1

# for i in range(1,count+1):
#     z *= i
#     print(f""inner count: {z}"")
# print(""ans"")
print(2 ** count -2)",1071.1794711943007,88.66048770574422,2,1,1
32A,137964971,"n,d = map(eval,input().split())
list_1 = list(map(eval,input().split()))
N = 0
for i in range(len(list_1)):
    for j in range(len(list_1)):
        if abs(list_1[i]-list_1[j])<=d:
            N += 1

print((N+1)//2)",134.43609377704337,67.64450076405312,2,1,0
32A,107136237,"n,d = map(int,input().split())
list_=sorted(list(map(int,input().split())))
count=0
for i in range(n-1):
    if list_[i+1]-list_[i]<=d:
        count +=2 
print(count)",89.62406251802892,69.04403793394626,3,1,0
32A,58950256,"n,d = map(int,input().split())
l = sorted(list(map(int,input().split())))
count,sum =  0,0
for i in range(1,n) : count += l[i] - l[i-1] <= d
for i in range(count+1) : sum += i
print(2*sum)",223.8724694169871,66.57278941459528,3,1,0
32A,46680942,"n, d = map(int, input().split())
a = [int(i) for i in input().split()]
m = []
for k in range(n):
        l = [a[i]-a[k] for i in range(n) if abs(a[i]-a[k]) <= 10]
        m.append(len(l))
print(max(m)*(max(m)-1))
 ",83.25989365817458,68.67862335196351,2,0,0
59A,85726948,"s=input();print([s.lower(),s.upper()][sum(x<'['for x in s)*2>len(s)])",42.793987519471216,82.97436645803353,3,1,0
59A,199375056,"""""""
A. Word: implementation, strings

time limit per test: 2 seconds
memory limit per test: 256 megabytes
input: standard input
output: standard output

Vasya is very upset that many people on the Net mix uppercase and lowercase letters in one word.
That's why he decided to invent an extension for his favorite browser that would change the letters' register in every word so that it either only consisted of lowercase letters or, vice versa, only of uppercase ones.
At that as little as possible letters should be changed in the word. For example, the word HoUse must be replaced with house, and the word ViP — with VIP.
If a word contains an equal number of uppercase and lowercase letters, you should replace all the letters with lowercase ones. For example, maTRIx should be replaced by matrix.
Your task is to use the given method on one given word.

Input
The first line contains a word s — it consists of uppercase and lowercase Latin letters and possesses the length from 1 to 100.

Output
Print the corrected word s. If the given word s has strictly more uppercase letters, make the word written in the uppercase register, otherwise - in the lowercase one.
""""""

def word():
    s = input()
    i_lower = 0
    i_upper = 0
    for i in s:
        if i.islower():
            i_lower += 1
        else:
            i_upper += 1

    if i_lower < i_upper:
        print(s.upper())
    else:
        print(s.lower())

if __name__ == '__main__':
    word()",86.39999999999999,86.7926195263321,3,1,1
59A,268649481,"import sys
input = sys.stdin.read

s = input().strip()

upper_count = sum(1 for c in s if c.isupper())
lower_count = len(s) - upper_count

if upper_count > lower_count:
    print(s.upper())
else:
    print(s.lower())",18.575424759098897,70.63587335932266,3,1,1
59A,158242314,"s = input()
lower_count = sum(1 for c in s if c.islower())
upper_count = sum(1 for c in s if c.isupper())
if upper_count > lower_count: print(s.upper())
else: print(s.lower())",2.3774437510817346,76.0166992945019,3,1,1
59A,19185713,"s=input()
c_1,c_2=0,0
for i in s:
    if i.isupper():
        c_1+=1
    else:
        c_2+=1
#print (c_1,c_2)
if c_2>=c_1:
    print (s.lower())
else:
    print(s.upper())",41.79470570797252,84.60409186259301,3,1,1
59A,4286521,"import sys
my_file = sys.stdin
#my_file = open(""input.txt"", ""r"")
line = my_file.readline()
lower, upper = 0, 0
for char in line:
    if char.isupper():
        upper += 1
    else:
        lower += 1
if lower >= upper:
    print(line.lower())
else:
    print(line.upper())",41.79470570797252,81.81319610537669,3,1,1
59A,86840533,"n=input()
u=0
l=0
for i in n:
    if i.upper():
        ++u
    else :
        ++l
if u<=l:
    print(n.lower())
else:
    print(n.upper())",42.65188126189908,65.74091207473005,2,0,0
59A,220509822,"s = input()

upper = set()
lower = set()

for char in s:
    if char.isupper():
        upper.add(char)
    
    elif char.islower():
        lower.add(char)

u = ''
for i in upper:
    u+=i

t = ''
for j in lower:
    t+=j
    
up = len(u)
low = len(t)

if low >= up:
    s = s.lower()
    print(s)

else:
    s = s.upper()
    print(s)",27.0,59.75249155109518,3,1,0
59A,220758338,"# import sys 
# sys.stdin = open(""/Users/swasti/Desktop/coding/cp/codeforces/input.txt"", ""r"")
# sys.stdout = open(""/Users/swasti/Desktop/coding/cp/codeforces/output.txt"", ""w"")

alphabet = ""abcdefghijklmnopqrstuvwxyz""
word = input()
if sum([i in alphabet for i in word]) < (len(word)+1) / 2:
    print(word.upper())
else:
    print(word.lower())",86.03910001730776,100.0,3,1,0
104A,112404248,"a=int(input())
print((10<a<22)*4+(a==20)*11)",142.3950740849544,80.61768762349101,2,1,0
104A,189849393,"n = int(input())
if(n<10 or n > 21):
  print (0)
else:
    mp = dict()
    for i in range(12):
      if(i == 0):
        mp[i] = 0
      elif(i == 10):
        mp[i] = 15
      else:
        mp[i]= 4
    
    print (mp[n-10])",276.55425005563205,62.22151906171853,3,1,0
104A,123945932,"n = int(input())

pool = [1,2,3,4,5,6,7,8,9,10,10,10,10,11]
numpool = pool * 4
numpool.remove(10)

count = 0
for num in numpool:
    if num + 10 == n:
        count = count + 1
print(count)",62.26976913547136,67.45011981872972,3,1,1
104A,43522335,"points = int(input())
if points <= 10:
    print(0)
elif points <= 19:
    print(4)
elif points == 20:
    print(15)
elif points == 21:
    print(4)
else:
    print(0)",53.901214503506004,65.91515777762403,2,0,1
104A,87432861,"t=int(input())
x=t-10

if x==1:
    print(4)
elif x>=2 and x<=9:
    print(4)
elif x==10:
    print(15)
elif x==11:
    print(4)
else:
    print(0)",310.93398530137097,62.32803225006178,2,1,1
104A,169976018,"n=int(input())
dif=n-10
if dif>=2 and dif<=9:
    print(4)
elif dif==11:
    print(4)
elif dif==10:
    print(15)
else:
    print(0)",249.77968097452373,64.74516944135763,3,1,1
104A,82025698,"n = int(input())
r = n-10
if r<=0:
    print(0)
elif r in range(1,12):
    print(4)
elif r==10:
    print(15)
else :
    print(0)
 ",121.72512005538482,66.5832313947694,2,1,1
104A,233720349,"import math
n = int(input())
if n == 20:
    print(15)
elif n == 10:
    print(0)
elif 10 < n < 20:
    print(4)
else:
    print(0)",59.596154435442294,67.7945011182569,2,0,0
104A,166294041,"n = int(input())

card_value = n - 10 # queen of spades

if card_value > 0 and card_value < 10:
    print(""4"")
else:
    print(""15"")",106.3016990363956,93.30310100154766,2,1,0
104A,9741875,"a=int(input())
if(a==10):
    print(0,end=""\n"")
else:
    a=a%10
    if(a==0):
        print(15)
    else:
        print(4)
    ",41.79470570797252,69.53738297209314,2,1,0
146A,39669757,"n=int(input())
s=input()
c4=s.count('4')
c7=s.count('7')
if c4+c7==n:
  l=[int(i) for i in s]
  if sum(l[:n//2])==sum(l[n//2:]):
    print('YES')
    exit(0)
  else:
    print('NO')
    exit(0)
else:
  print('NO')",106.77626019280808,62.57460486092825,3,1,0
146A,38123484,"n=int(input())
m=input()
x=m.count('4')+m.count('7')
if x!=n:
    print('NO')
else:
    if m[:n//2].count('4')==m[n//2:].count('4'):
        print('YES')
    else:
        print('NO')",148.26135508445563,65.77340237984626,3,1,0
146A,167105542,"def main():
    n=int(input(''))
    a=input('')
    if(LuckyTicket(a)):
        print(""YES"")
    else:
        print(""NO"")
def LuckyTicket(a):
    for i in range(len(a)):
        if a[i]!='4' and a[i]!='7':
            return False
    if(len(a)==2):
        return a[0]==a[1];
    S1=0
    S2=0
    n=len(a)
    Ch1=a[:n//2]
    Ch2=a[n//2:]
    N1=int(Ch1)
    N2=int(Ch2)
    while(N1!=0):
        S1+=N1%10
        N1=N1//10
    while(N2!=0):
        S2+=N2%10
        N2=N2//10
    return S1==S2
main()",1126.257332762207,50.26053956649983,2,1,1
146A,162488646,"length_of_ticket_number = int(input())
ticket_number = input()

other_digits = length_of_ticket_number - ticket_number.count('4') - ticket_number.count('7')

if other_digits > 0 :
    print('NO')
else:
    s_to_list = list(ticket_number)
    for i in range(length_of_ticket_number):
        s_to_list[i] = int(s_to_list[i])

    total_first_half_digits = 0
    total_second_half_digits = 0

    for n in s_to_list[:len(s_to_list) // 2]:
        total_first_half_digits += n

    for a in s_to_list[len(s_to_list) // 2:]:
        total_second_half_digits += a

    if total_first_half_digits == total_second_half_digits:
        print('YES')
    else:
        print('NO')",307.9329231834323,57.29189401035144,3,1,1
146A,265000937,"n = int(input())
ticket = input()
lucky = all(char in ['4', '7'] for char in ticket)
half_len = n // 2
sum_first_half = sum(map(int, ticket[:half_len]))
sum_second_half = sum(map(int, ticket[half_len:]))
if lucky and sum_first_half == sum_second_half:
    print(""YES"")
else:
    print(""NO"")",86.03910001730776,64.48181755673244,3,1,1
146A,179459229,"def luckyNumber(n):
    for i in n:
        if i != ""4"" and i != ""7"":
            return False
    return True

def luckyTicket(n,length):
    if luckyNumber(n):
        left = n[:length//2]
        right = n[length//2:]
        if left == right or left == right[::-1]:
            return ""Yes""
    return ""No""
length = int(input())
n = input()

print(luckyTicket(n,length))",433.2886063712457,57.911344727507654,3,1,1
146A,18881650,"def khoshans(n):
    if n==0:
        return 'no'
    m=0
    f='yes'
    while n!=0:
        y=n%10
        n=n//10
        if y!=4 or y!=7:
            f='no'
    return f
def tedad(n):
    t=0
    while n!=0:
        n=n//10
        t=t+1
    return t
c=int(input())
n=int(input())
t=tedad(n)
m=0
s=0
while n!=0:
    for i in range(t//2):
        m=m+n%10
        n=n//10
    for j in range(t//2):
        s=s+n%10
        n=n//10
if m==s and khoshans(n)=='yes':
    print('YES')
else:
    print('NO')",1971.9700703522817,47.73411086481149,2,0,1
146A,167104620,"def main():
    n=int(input(''))
    a=int(input(''))
    if(LuckyTicket(a)):
        print(""YES"")
    else:
        print(""NO"")
def LuckyTicket(a):
    Ch=str(a)
    while(a!=0):
        if(a%10!=4 and a%10!=7):
            return False
        a=a//10
    if(len(Ch)==2):
        return Ch[0]==Ch[1];
    n=len(Ch)
    S1=0
    S2=0
    Ch1=Ch[:n//2]
    Ch2=Ch[n//2:]
    N1=int(Ch1)
    N2=int(Ch2)
    while(N1!=0):
        S1+=N1%10
        N1=N1//10
    while(N2!=0):
        S2+=N2%10
        N2=N2//10
    return S1==S2
main()",1692.1582985307932,48.93372814728402,3,1,0
146A,19786574,"n=int(input())
s=input()
s1=0
s2=0
for i in range(n//2):
    if s[i]!=s[n-i-1]:
        import sys
        print('NO')
        sys.exit(0)
print ('YES')
    ",68.33680652339717,66.5753046855467,2,0,0
146A,52938728,"n = int(input())
ticket = list(map(int, list(input())))
if len(list(set(ticket)))>1:
    if list(set(ticket)) != list(set([4, 7])) or sum(ticket[:n//2]) != sum(ticket[n//2:]) :
        print('NO')
        exit()
else:
    if sum(ticket[:n//2]) != sum(ticket[n//2:]) :
        print('NO')
        exit()
print('YES')",324.0,62.372522923754644,3,1,0
233A,234429687,"def permütation(n):
    if n % 2 == 1:
        return [-1]
    else:
        number_list = [x for x in range(1,n+1)]
        copy_list = number_list.copy()
        if n % 2 == 0:
            for j in range(0, n, 2):
                number_list[j] = copy_list[j+1]
                number_list[j+1] = copy_list[j]
            
            return number_list
        else:
            for k in range(0, n-1):
                number_list[k] = copy_list[k+1]
    
            number_list[-1] = copy_list[0]
            return number_list            

n = int(input())
print(*permütation(n))",716.9601953898366,57.38906166727752,3,1,0
233A,169473686,"n=int(input());print(*(list(range(1,n+1))[::-1],[-1])[n&1])",104.4867642699313,79.89390016215319,2,0,0
233A,119545358,"n=int(input())
if(n%2==0):
    ans=[]
    for i in range(1,n,2):
        ans.append(str(i+1))
        ans.append(str(i))
    print("" "".join(ans))
else:
    print(-1)",85.26282110210897,67.83805293934952,2,0,1
233A,254086103,"n = int(input())

if n % 2 == 1:
    print(-1) 
else:
    permutation = []
    for i in range(1, n + 1, 2):
        permutation.append(i + 1)  
        permutation.append(i)     
    print(*permutation)  

  	    	  		 	  		 	 	 	  	 		",159.76422007269255,67.24712427111737,3,1,1
233A,139403250,"n = int(input())
a = list(range(n,0,-1))
if a[n//2]==n//2+1:
	print(-1)
else:
	for i in range(n,0,-1):
		print(i,end="" "")",219.24725426256592,68.72133715902332,2,0,1
233A,196247667,"a=int(input())
if a==1:
     print(-1)
if a==2:
     print(2,1)
if a==3:
     print(2,1,4)
if a==4:
     print(2,1,4,3)",70.74534403585162,67.34748627551006,2,0,1
233A,58063537,"n=int(input())
l=[i for i in range(1,n+1)]
if n<=1:
	print(""-1"")
if n>1:
	l.pop(0)	
	l.append(1)
	print(*l)",94.03808784293817,70.51871933328228,3,1,1
233A,219163636,"#https://codeforces.com/problemset/problem/233/A

def is_even(number):
    return True if number%2 == 0 else False

def build_answer_string(number):
    answer_string = """"
    even_list = [str(x) for x in range(2, number + 1, 2)]
    odd_list = [str(x) for x in range(1, number, 2)]
    for x in range(number//2):
        answer_string += even_list[x] + odd_list[x]
    return "" "".join(answer_string)
def get_perfect_permutation(number):
    if(is_even(number)):
        return build_answer_string(number)
    else:
        return -1


n = int(input())
answer = get_perfect_permutation(n)
print(answer)",221.4042372343934,73.0445299792982,3,1,0
233A,60418293,"n = int(input())
permutation = [0 for _ in range(n)]
if n == 1:
    print(-1)
else:
    for i in range(1, n+1):
        permutation[i-1] = i
    for i in permutation:
        print(i, end="" "")",144.11088599895703,68.08084457694153,2,0,0
233A,118507586,"test = int(input())
ans = []

if test%2 != 0 :
    print(-1)

else:
    for i in range(1, int(test/2)+2 ,2  ):
        a = i
        b = i+1
        ans . append(str(b))
        ans.append(str(a))

    print("" "".join(ans))
    ",239.42428129816292,64.38146053745598,3,1,0
268A,131670468,"_=input
x,y=zip(*[_().split()for i in'_'*int(_())])
print(sum(x.count(i)for i in y))",2.3774437510817346,84.44724042799471,2,1,0
268A,102749520,"n = int(input())

teams = []
for _ in range(n):
    teams.append(tuple(map(int,input().split())))

home, away = list(zip(*teams))
out = 0
for h in home:
    out += away.count(h)
    
print(out)",2.3774437510817346,74.03933453534945,3,1,0
268A,104735818,"a=int(input())
x=a
c=[]
d=0
while a!=0:

    b=list(map(int, input().split()))

    c.append(b)
    a-=1

for i in c: 
    for g in range(x):
        if i[0]==c[g][1]:
            d+=1
            
print(d)

 ",106.3016990363956,63.820742647901454,2,1,1
268A,216820075,"a = int(input())
b = []
for i in range(a):
    c = list(map(int , input().split()))
    b.append(c)
total = 0
for i in range(a):
    for j in range(a):
        if i == j:
            continue
        else:
            if b[i][0] == b[j][1]:
                total += 1
print(total)",27.0,64.1689588052692,2,1,1
268A,162314158,"# Happy_water
def main():
    n = int(input())
    h, a = [], []
    for i in range(n):
        x, y = map(int, input().split())
        h.append(x)
        a.append(y)
    ans = 0
    for i in range(n):
        for j in range(n):
            if i != j and h[i] == a[j]:
                ans += 1
    print(ans)


if __name__ == '__main__':
    main()",114.22064766172811,76.01057245742957,3,1,1
268A,213203737,"p=[]
q=[]
c=0
for i in range(int(input())):
    a,b=[int(i) for i in input().split()]
    p.append(a)
    q.append(b)
    if a in q:
        c+=1
    if b in p:
        c+=1
print(c)",48.0,64.88901391430564,2,0,1
